文法,章節,等級,類型,接續,中文意思,例句1,中文翻譯1,例句2,中文翻譯2,易錯點,狀態,複習日期
〜です,名詞句,N5,必學,N + です,是...,"私は学生です。","我是學生。","これは本です。","這是書。","です不是動詞，是禮貌判斷句尾。",待學,
〜ではありません,名詞句,N5,必學,N + ではありません,不是...,"私は先生ではありません。","我不是老師。","これは水ではありません。","這不是水。","口語常說じゃありません，但考試常見ではありません。",待學,
〜じゃありません,名詞句,N5,會話常用,N + じゃありません,不是...,"私は日本人じゃありません。","我不是日本人。","これはペンじゃありません。","這不是筆。","比ではありません口語。正式作文可用ではありません。",待學,
〜ですか,疑問句,N5,必學,句子 + か,是...嗎,"これは本ですか。","這是書嗎？","田中さんは先生ですか。","田中先生是老師嗎？","日文疑問句常用か，不一定需要問號。",待學,
はい / いいえ,基本回應,N5,會話常用,はい / いいえ + 句子,是 / 不是,"はい、学生です。","是，我是學生。","いいえ、先生ではありません。","不是，我不是老師。","回答否定疑問句時，不要直接照中文邏輯翻。",待學,
これ / それ / あれ,指示詞,N5,必學,これ/それ/あれ + は + Nです,這個 / 那個 / 那個,"これは水です。","這是水。","それは辞書です。","那是字典。","これ靠近自己，それ靠近對方，あれ離雙方都遠。",待學,
この / その / あの,指示詞,N5,必學,この/その/あの + N,這個... / 那個...,"この本は新しいです。","這本書是新的。","あの人は先生です。","那個人是老師。","この後面一定要接名詞，不能單獨使用。",待學,
どれ,指示詞,N5,必學,どれ + ですか,哪一個,"あなたの本はどれですか。","你的書是哪一本？","田中さんのかばんはどれですか。","田中的包包是哪一個？","どれ單獨指哪一個，どの後面要接名詞。",待學,
どの,指示詞,N5,必學,どの + N,哪個...,"どの本が好きですか。","你喜歡哪本書？","どの人が先生ですか。","哪個人是老師？","どの不能單獨用，後面要接名詞。",待學,
〜の〜,名詞句,N5,必學,N1 + の + N2,的 / 所屬 / 關係,"私の名前はリンです。","我的名字是 Lin。","日本語の本です。","是日文書。","の不只表示所有，也可表示種類或關係。",待學,
〜も,助詞,N5,必學,N + も,也,"私も学生です。","我也是學生。","これも水です。","這也是水。","も會取代は或が的位置，不是直接加在後面。",待學,
〜は〜です,助詞,N5,必學,N1 + は + N2です,以...為主題說明,"私は会社員です。","我是上班族。","これは日本語の本です。","這是日文書。","は讀作wa，不讀ha。",待學,
〜はどこですか,疑問句,N5,必學,N + は + どこですか,...在哪裡,"トイレはどこですか。","廁所在哪裡？","駅はどこですか。","車站在哪裡？","どこ問地點，不問人。",待學,
〜は何ですか,疑問句,N5,必學,N + は + 何ですか,...是什麼,"これは何ですか。","這是什麼？","あなたの仕事は何ですか。","你的工作是什麼？","何在不同接續下讀なん或なに。",待學,
〜は誰ですか,疑問句,N5,必學,N + は + 誰ですか,...是誰,"あの人は誰ですか。","那個人是誰？","この人は誰ですか。","這個人是誰？","誰讀だれ，禮貌一點可說どなた。",待學,
〜があります,存在句,N5,必學,N + があります,有某物 / 有植物,"机があります。","有桌子。","公園があります。","有公園。","あります用於無生命物或植物。",待學,
〜がいます,存在句,N5,必學,N + がいます,有人 / 有動物,"猫がいます。","有貓。","教室に学生がいます。","教室裡有學生。","います用於人和動物。",待學,
〜に〜があります,存在句,N5,必學,場所 + に + N + があります,在某地有某物,"部屋に机があります。","房間裡有桌子。","駅の前に銀行があります。","車站前有銀行。","地點後面用に，存在物前常用が。",待學,
〜に〜がいます,存在句,N5,必學,場所 + に + N + がいます,在某地有人 / 動物,"公園に犬がいます。","公園裡有狗。","教室に先生がいます。","教室裡有老師。","不要把人或動物用あります。",待學,
〜は〜にあります,存在句,N5,必學,N + は + 場所 + にあります,某物在某地,"本は机の上にあります。","書在桌上。","銀行は駅の前にあります。","銀行在車站前。","主題是物品時用は，位置後用に。",待學,
〜は〜にいます,存在句,N5,必學,N + は + 場所 + にいます,某人 / 動物在某地,"田中さんは教室にいます。","田中在教室。","猫は部屋にいます。","貓在房間裡。","人和動物的位置用います。",待學,
〜をください,請求,N5,會話常用,N + をください,請給我...,"水をください。","請給我水。","これをください。","請給我這個。","買東西或點餐很常用。",待學,
〜をお願いします,請求,N5,會話常用,N + をお願いします,麻煩給我 / 拜託...,"コーヒーをお願いします。","麻煩給我咖啡。","日本語の本をお願いします。","麻煩給我日文書。","比ください更柔和，服務場合常用。",待學,
〜が好きです,喜好,N5,必學,N + が好きです,喜歡...,"私は音楽が好きです。","我喜歡音樂。","田中さんは猫が好きです。","田中喜歡貓。","喜歡的對象用が，不用を。",待學,
〜が嫌いです,喜好,N5,補充,N + が嫌いです,討厭...,"私は魚が嫌いです。","我討厭魚。","彼は勉強が嫌いです。","他討厭讀書。","嫌い是な形容詞，不是動詞。",待學,
〜が上手です,能力評價,N5,常考,N + が上手です,擅長...,"彼は日本語が上手です。","他很擅長日文。","母は料理が上手です。","媽媽很會做菜。","稱讚別人常用，自稱太直接可能不自然。",待學,
〜が下手です,能力評價,N5,常考,N + が下手です,不擅長...,"私は歌が下手です。","我不擅長唱歌。","彼は料理が下手です。","他不會做菜。","下手也是な形容詞。",待學,
〜がわかります,能力,N5,必學,N + がわかります,懂 / 明白...,"日本語が少しわかります。","我懂一點日文。","この言葉がわかります。","我懂這個詞。","懂的內容用が，不用を。",待學,
〜ができます,能力,N5,必學,N + ができます,會 / 能...,"日本語ができます。","我會日文。","料理ができます。","我會做菜。","表示能力時對象用が。",待學,
〜を食べます,動詞ます形,N5,必學,N + を + 食べます,吃...,"パンを食べます。","吃麵包。","昼ご飯を食べます。","吃午餐。","直接受詞常用を，讀作o。",待學,
〜を飲みます,動詞ます形,N5,必學,N + を + 飲みます,喝...,"水を飲みます。","喝水。","コーヒーを飲みます。","喝咖啡。","を標示被喝的東西。",待學,
〜を見ます,動詞ます形,N5,必學,N + を + 見ます,看...,"映画を見ます。","看電影。","テレビを見ます。","看電視。","見る是二類動詞，ます形是見ます。",待學,
〜を読みます,動詞ます形,N5,必學,N + を + 読みます,讀...,"本を読みます。","讀書。","新聞を読みます。","看報紙。","日文讀報紙也用読みます。",待學,
〜を書きます,動詞ます形,N5,必學,N + を + 書きます,寫...,"名前を書きます。","寫名字。","手紙を書きます。","寫信。","書く的ます形是書きます。",待學,
〜へ行きます,移動,N5,必學,場所 + へ + 行きます,去...,"学校へ行きます。","去學校。","日本へ行きます。","去日本。","へ作助詞時讀e，不讀he。",待學,
〜に行きます,移動,N5,必學,場所 + に + 行きます,去...,"会社に行きます。","去公司。","駅に行きます。","去車站。","に和へ都可表示方向，に比較強調目的地。",待學,
