句型,章節,等級,類型,近似發音,接續,中文意思,例句1,中文翻譯1,例句2,中文翻譯2,狀態
Hola,問候,A1,必學,歐-la,Hola,你好,"Hola, Juan.","你好，Juan。","Hola, buenos días.","你好，早安。",待學
Gracias,問候,A1,必學,格拉-thi-as / 格拉-si-as,Gracias + por + N/V,謝謝,"Gracias por tu ayuda.","謝謝你的幫忙。","Muchas gracias.","非常謝謝。",待學
Por favor,問候,A1,必學,波爾 fa-沃爾,請求句 + por favor,請 / 麻煩你,"Un café, por favor.","請給我一杯咖啡。","Ayúdame, por favor.","請幫我。",待學
Perdón,問候,A1,會話常用,佩爾-don,Perdón / Perdón por + N,不好意思 / 抱歉,"Perdón, ¿dónde está el baño?","不好意思，廁所在哪裡？","Perdón por llegar tarde.","抱歉我遲到了。",待學
"Me llamo ...",自我介紹,A1,必學,美 ya-mo,Me llamo + 名字,我叫...,"Me llamo Lin.","我叫 Lin。","Hola, me llamo Ana.","你好，我叫 Ana。",待學
"Soy ...",自我介紹,A1,必學,soy,Soy + 身分/形容詞,我是...,"Soy estudiante.","我是學生。","Soy diseñador.","我是設計師。",待學
"Soy de ...",自我介紹,A1,必學,soy de,Soy de + 地方,我來自...,"Soy de Taiwán.","我來自台灣。","Ella es de España.","她來自西班牙。",待學
"Tengo ... años",自我介紹,A1,必學,ten-go ... a-nyos,Tengo + 數字 + años,我...歲,"Tengo veinte años.","我二十歲。","Tengo treinta años.","我三十歲。",待學
"Hablo ...",自我介紹,A1,必學,a-blo,Hablo + 語言,我會說...,"Hablo chino.","我會說中文。","Hablo un poco de español.","我會說一點西班牙文。",待學
"Esto es ...",名詞句,A1,必學,es-to es,Esto es + 名詞,這是...,"Esto es agua.","這是水。","Esto es mi libro.","這是我的書。",待學
"No es ...",名詞句,A1,必學,no es,No es + 名詞/形容詞,不是...,"No es caro.","不貴。","No es mi teléfono.","這不是我的手機。",待學
"¿Es ...?",名詞句,A1,必學,es,¿Es + 名詞/形容詞?,是...嗎？,"¿Es tu libro?","這是你的書嗎？","¿Es barato?","便宜嗎？",待學
"Mi / Tu",名詞句,A1,必學,mi / tu,Mi/Tu + 名詞,我的 / 你的,"Mi nombre es Lin.","我的名字是 Lin。","Tu casa es bonita.","你的家很漂亮。",待學
"Hay ...",名詞句,A1,必學,ai,Hay + 名詞,有...,"Hay agua.","有水。","Hay una mesa en la habitación.","房間裡有一張桌子。",待學
"Quiero ...",日常動作,A1,必學,ki-e-ro,Quiero + 名詞 / 動詞原形,我想要...,"Quiero agua.","我想要水。","Quiero aprender español.","我想學西班牙文。",待學
"Necesito ...",日常動作,A1,必學,ne-se-si-to,Necesito + 名詞 / 動詞原形,我需要...,"Necesito ayuda.","我需要幫忙。","Necesito descansar.","我需要休息。",待學
"Como ...",日常動作,A1,必學,ko-mo,Como + 食物,我吃...,"Como pan.","我吃麵包。","Como arroz todos los días.","我每天吃飯。",待學
"Bebo ...",日常動作,A1,必學,be-bo,Bebo + 飲料,我喝...,"Bebo agua.","我喝水。","Bebo café por la mañana.","我早上喝咖啡。",待學
"Voy a ...",日常動作,A1,必學,boy a,Voy a + 地方 / 動詞原形,我要去... / 我將要...,"Voy a la escuela.","我要去學校。","Voy a estudiar español.","我要學西班牙文。",待學
"¿Dónde está ...?",旅行生存,A1,必學,don-de es-ta,¿Dónde está + 地點/物品?,...在哪裡？,"¿Dónde está el baño?","廁所在哪裡？","¿Dónde está la estación?","車站在哪裡？",待學
"¿Cuánto cuesta?",旅行生存,A1,必學,kwan-to kwes-ta,¿Cuánto cuesta + 名詞?,多少錢？,"¿Cuánto cuesta esto?","這個多少錢？","¿Cuánto cuesta el café?","咖啡多少錢？",待學
"No entiendo",旅行生存,A1,必學,no en-tyen-do,No entiendo + 內容,我聽不懂 / 我不懂,"No entiendo.","我不懂。","No entiendo español.","我不懂西班牙文。",待學
"Más despacio",旅行生存,A1,必學,mas des-pa-thio / des-pa-sio,Más despacio por favor,請慢一點,"Más despacio, por favor.","請說慢一點。","Habla más despacio, por favor.","請你說慢一點。",待學
"La cuenta, por favor",旅行生存,A1,必學,la kwen-ta por fa-vor,La cuenta por favor,請結帳,"La cuenta, por favor.","請結帳。","Camarero, la cuenta, por favor.","服務生，請結帳。",待學
