分類,英文,西語,中文
住家類型,apartment,apartamento,公寓
住家類型,chalet / cottage,chalé,小屋 / 度假屋
住家類型,studio apartment,estudio,套房
住家類型,flat,piso,公寓 / 樓層
房屋部分,kitchen,cocina,廚房
房屋部分,bedroom,dormitorio,臥室
房屋部分,hallway,pasillo,走廊
房屋部分,living / dining room,salón-comedor,客餐廳
房屋部分,terrace / balcony,terraza,露台 / 陽台
家具,carpet / rug,alfombra,地毯
家具,wardrobe / closet,armario,衣櫃
家具,bed,cama,床
家具,desk,escritorio,書桌
家具,bookshelf / shelf,estantería,書架
家具,lamp,lámpara,燈
家具,chair,silla,椅子
家具,armchair,sillón,扶手椅
家具,sofa / couch,sofá,沙發
服務,air conditioning,aire acondicionado,冷氣
服務,elevator,ascensor,電梯
服務,heating,calefacción,暖氣
服務,central heating,calefacción central,中央暖氣
服務,individual heating,calefacción individual,獨立暖氣
服務,stairs,escalera,樓梯
服務,garage,garaje,車庫
家電,stove / cooker,cocina,爐具
家電,washing machine,lavadora,洗衣機
家電,dishwasher,lavavajillas,洗碗機
家電,microwave,microondas,微波爐
家電,refrigerator / fridge,nevera,冰箱
家電,computer,ordenador,電腦
家電,DVD player,reproductor de DVD,DVD 播放器
家電,TV,televisión,電視
房屋描述,spacious,amplio / amplia,寬敞的
房屋描述,old / antique,antiguo / antigua,古老的
房屋描述,cheap,barato / barata,便宜的
房屋描述,expensive,caro / cara,貴的
房屋描述,comfortable,cómodo / cómoda,舒服的
房屋描述,outward-facing,exterior,對外的 / 外向採光
房屋描述,inward-facing,interior,對內的
房屋描述,bright,luminoso / luminosa,明亮的
房屋描述,modern,moderno / moderna,現代的
房屋描述,new,nuevo / nueva,新的
房屋描述,dark,oscuro / oscura,陰暗的
房屋描述,old,viejo / vieja,舊的
相關詞,real estate agency,agencia inmobiliaria,房仲 / 房地產公司
相關詞,advertisement / listing,anuncio,廣告 / 房源
相關詞,offer,oferta,優惠 / 報價
相關詞,advertisement,publicidad,廣告
